,chr,node_layer_0,node_layer_1,weights_0,layer0_name,weights_1,layer1_name,raw_importance
0,chr1,0,0,-0.0017496606,chrchr1:871159,1.2217016e-06,SAMD11,-2.1375632e-09
1,chr1,1,0,-3.9699894e-06,chrchr1:876499,1.2217016e-06,SAMD11,-4.8501424e-12
2,chr1,2,0,-0.0004662866,chrchr1:877556,1.2217016e-06,SAMD11,-5.696631e-10
3,chr1,3,1,-0.00457149,chrchr1:881512,0.014157915,NOC2L,-6.4722764e-05
4,chr1,4,1,-0.0051593715,chrchr1:881769,0.014157915,NOC2L,-7.304594e-05
5,chr1,5,1,-0.008363696,chrchr1:887801,0.014157915,NOC2L,-0.00011841249
6,chr1,6,1,-0.012580298,chrchr1:888639,0.014157915,NOC2L,-0.00017811079
7,chr1,7,1,-0.031455845,chrchr1:888659,0.014157915,NOC2L,-0.00044534917
8,chr1,8,1,-0.041921463,chrchr1:889158,0.014157915,NOC2L,-0.00059352047
9,chr1,9,1,-0.033620235,chrchr1:889159,0.014157915,NOC2L,-0.00047599242
10,chr1,10,1,0.015520171,chrchr1:889238,0.014157915,NOC2L,0.00021973327
11,chr1,11,2,0.076331265,chrchr1:898323,-0.05105341,KLHL17,-0.0038969712
12,chr1,12,2,-0.006441627,chrchr1:898467,-0.05105341,KLHL17,0.00032886703
13,chr1,13,3,-0.0052666073,chrchr1:909309,7.756694e-06,PLEKHN1,-4.085146e-08
14,chr1,14,3,0.007107809,chrchr1:909314,7.756694e-06,PLEKHN1,5.51331e-08
15,chr1,15,4,-0.009422005,chrchr1:935046,1.560152e-06,HES4,-1.469976e-08
16,chr1,16,4,0.009654802,chrchr1:935090,1.560152e-06,HES4,1.5062959e-08
17,chr1,17,5,0.004131679,chrchr1:949472,2.483431e-07,ISG15,1.026074e-09
18,chr1,18,5,-0.004483582,chrchr1:949831,2.483431e-07,ISG15,-1.1134667e-09
19,chr1,19,5,0.002058935,chrchr1:949889,2.483431e-07,ISG15,5.1132226e-10
20,chr1,20,6,-0.007513057,chrchr1:978668,1.32845025e-05,AGRN,-9.9807224e-08
21,chr1,21,6,-0.0027433154,chrchr1:978974,1.32845025e-05,AGRN,-3.644358e-08
22,chr1,22,6,-0.00070977054,chrchr1:979595,1.32845025e-05,AGRN,-9.428948e-09
23,chr1,23,6,-0.0046802964,chrchr1:980941,1.32845025e-05,AGRN,-6.217541e-08
24,chr1,24,6,-0.008841377,chrchr1:981942,1.32845025e-05,AGRN,-1.1745329e-07
25,chr1,25,6,0.013149159,chrchr1:985237,1.32845025e-05,AGRN,1.7468004e-07
26,chr1,26,6,0.003791738,chrchr1:985575,1.32845025e-05,AGRN,5.0371355e-08
27,chr1,27,6,0.013144469,chrchr1:985700,1.32845025e-05,AGRN,1.7461772e-07
28,chr1,28,6,-0.008916616,chrchr1:986187,1.32845025e-05,AGRN,-1.1845281e-07
